stationcode,comid,masterid
Vandenberg2,17593327,Vandenberg2_nomatch
VENTURA0,17586992,VENTURA0_nomatch
VENTURA8,948070369,VENTURA8_nomatch
VENTURA9,17586678,VENTURA9_nomatch
VRLC1,17586810,VRLC1_nomatch
VRMT3,17585800,VRMT3_nomatch
VRSA1,17586810,VRSA1_nomatch
VRVR4,948070372,VRVR4_nomatch
WC51Fall,7972215,WC51Fall_nomatch
Whitewater River2,22590233,Whitewater River2_nomatch
Whitewater River3,22590133,Whitewater River3_nomatch
509PS0234,8020458,509PS0234
513PS0248,8005717,513PS0248
NF508723-010,14992653,514MFA010
516PS0287,15012853,516PS0287
NF508723-019,17074461,536NFT019
NF508723-003,17077849,536TMR003
540PS0258,17116225,540PS0258
552PS0284,22050467,552PS0284
Whitewater River5,22590985,Whitewater River5_nomatch
Wigham1,20343343,Wigham1_nomatch
Wigham2,20344375,Wigham2_nomatch
NF508723-090,948021099,514FLC090
NF508723-085,8026202,518BLR085
NF508723-089,2773010,518FRE089
NF508723-030,17056280,532FRS030
NF508723-094,342525,534BMC094
NF508723-024,17118245,540MNO024
NF508723-095,14960789,554DCT095
NF508723-096,14959491,554KRN096
NF508723-031,14959681,554KRS031
NF508723-092,20277159,603BSP092
NF508723-086,8933846,635MTR006
105PS0129,4438708,105PS0129
106PS0122,8242294,106PS0122
106PS0124,8235234,106PS0124
106PS0142,8234706,106PS0142
111PS0144,8294689,111PS0144
113PS0132,2662241,113PS0132
NF508723-097,2772792,518FRE097
526PS0808,7927361,526PS0808
NF508723-044,20276649,603GBC044
626PS0827,22683514,626PS0827
505PS0940,7960739,505PS0940
506PS0003,7965555,506PS0003
NF508723-098,8058273,517CYN098
NF508723-101,8026710,518HGY101
NF508723-105,8039103,518LCC105
NF508723-099,342719,534BLC099
NF508723-100,17115637,540WLW100
554PS0946,14961183,554PS0946
628PS1019,22658335,628PS1019
628PS1039,22658633,628PS1039
113PS0012,2664261,113PS0012
R5BIO-162,2772920,518BTCASC
R5BIO-150,17053262,532PTCAER
R5BIO-154,8026304,R5BIO-154
R5BIO-155,8026654,R5BIO-155
R5BIO-156,8020392,R5BIO-156_nomatch
R5BIO-160,8294911,R5BIO-160_nomatch
R5BIO-241,20272509,R5BIO-241_nomatch
R5BIO-152,7954274,R5BIO-152_nomatch
R5BIO-153,7952774,R5BIO-153_nomatch
105PS0231,3917406,105PS0231
105PS0259,8258269,105PS0259
113PS0216,8281271,113PS0216
113PS0232,8281015,113PS0232
R5BIO-304,22559686,801SASF38
R5BIO-302,22554988,801SBCATC
R5BIO-251,14992833,R5BIO-251_nomatch
R5BIO-303,22658505,R5BIO-303_nomatch
R5BIO-248,14971663,R5BIO-248
R5BIO-249,21609655,R5BIO-249_nomatch
R5BIO-250,14992833,R5BIO-250_nomatch
S_LANRNCHN,17564100,NA
SDC-MLS,20331892,NA
SloanCanyon,17607931,NA
105PS0267,360287,105PS0267
113PS0268,2664619,113PS0268
NF508723-033,8021344,509CTC033
SEDTMDL_98,8021348,509SED098
609PS0053,948090648,609PS0053
R5BIO-6498,22548509,902SMROB8
R5BIO-318,22522723,SMC42252
R5BIO-332,343649,R5BIO-332_nomatch
SEDTMDL_108,17081781,NA
SEDTMDL_111,17682692,304SED111
SEDTMDL_112,17682476,304SED112
SEDTMDL_59,8188871,308SED059
NF508723-038,8058663,517PSC038
SEDTMDL_13,2772920,518SED013
SEDTMDL_12,7952064,526SED012
SEDTMDL_107,346375,534ARC279
SEDTMDL_11,22059123,552SED011
SEDTMDL_14,14971035,554SED014
SEDTMDL_109,8922467,633SED109
SEDTMDL_6,17081693,NA
R5BIO-334,8040827,NA
R5BIO-401,22227560,NA
R5BIO-402,22227330,NA
SEDTMDL_70,17683352,304SED070
SEDTMDL_60,17600867,307SED060
SEDTMDL_62,8204575,309SED062
SEDTMDL_63,8213739,309SED063
SEDTMDL_64,8210533,309SED064
R5BIO-335,8040619,518SNCABC
R5BIO-333,17074735,536HLCBFM
R5BIO-403,22226754,NA
R5BIO-407,22227610,NA
R5BIO-409,22226770,NA
R5BIO-412,2706761,NA
R5BIO-6508,20325057,NA
R5BIO-6512,22548347,NA
R5BIO-6510,22549067,902SCDLRx
R5BIO-6504,20330890,905SDYSA7
R5BIO-6514,20330036,907CCCR02
R5BIO-6518,20332536,907SDBOC2
R5BIO-6502,20325127,SMC31658
S_LANRNCHS,17564132,NA
S_LLASVIR,20364891,NA
S_LMEDCRK,20365889,NA
S_SOLSCRK,20365171,NA
S_TEMECYN,20365115,NA
S_UMEDCRK,20364695,NA
SAC005,1889500,NA
SDC-TWAS-2,20328620,NA
Sentinel9,14969033,NA
SAC004,3951199,531Site14
R5BIO-6520,20348729,SMC16041
SDR-TWAS-1,948070169,NA
SDR-TWAS-2,20331402,NA
SDR-TWAS-3,948070177,NA
SDSD1,20355478,NA
Sentinel11,7961661,NA
SLRC1,20343105,NA
SLRR-BR,20342539,NA
SLRTrib1,20344381,NA
SDR-1,20331520,SMC17788
SDR-MLS,20331516,SDR-MLS
SMDL1,22548347,NA
SMR-AS,948070506,NA
SC,22563228,NA
SMRC1,22548473,NA
Vandenberg4,17593281,NA
Vandenberg5,17593947,NA
Vandenberg6,17593191,NA
SMAD1,-9999,902SMADO2
SMAS1,22549465,902SMAS1x
SLSL4,20342615,903GJL000
SLWM1,20341661,903SLWVR1
Vandenberg7,17593193,NA
Vandenberg8,17593951,NA
VA-RE,17574613,NA
VA-RF,17575785,NA
Sentinel13,2769298,NA
Sentinel14,8933512,NA
Sentinel15,2772546,NA
Sentinel16,8039659,NA
Sentinel17,8040129,NA
Sentinel18,20195408,NA
Sentinel2,22047895,NA
Sentinel3,17115719,NA
b11396000,8037505,NA
SMR-RC,22549113,NA
SQMC1,17626373,NA
SRSD1,20329758,NA
SRSV1,20332430,NA
STC517,2827210,NA
SW1,948090756,NA
REF-CC,20329966,NA
SACJ1,22554572,NA
SMST1,22548421,902SMSTN1
SMSM2,22548457,SMC24043
Sespe1,17574247,NA
Sespe2,17574291,NA
SGCC1,22525001,NA
SGCD1,22522649,NA
SAMI1,22558964,NA
SanJose1,17594359,NA
Santiago1,22561152,NA
Santiago2,22561152,NA
Santiago3,22561152,NA
SanYsidro1,20343347,NA
SanYsidro2,20343355,NA
SanYsidro3,20343361,NA
SanYsidro4,20343259,NA
SAP1,17574627,NA
R5BIO-002,8305452,NA
R5BIO-009,8242232,NA
R5BIO-011,17053540,NA
R5BIO-012,14982536,NA
R5BIO-016,-9999,NA
R5BIO-018,14981330,NA
R5BIO-004,8305354,111ERATRC
R5BIO-014,17053854,R5BIO-014
R5BIO-015,8944559,R5BIO-015
LonePinePauiteShoshone,20266801,NA
LosPadresUnnamed1,17593527,NA
LosPadresUnnamed2,17593519,NA
LosPadresUnnamed3,17595153,NA
Malibu_HV,20364735,NA
Malibu_LC,20364893,NA
Malibu_LIN1,948070449,NA
Malibu_LIN2,948070449,NA
Malibu_LV1,20364705,NA
Malibu_LV2,20364841,NA
pepCOLDCRKL,20364969,NA
pepCOLDCRKU,20364977,NA
pepNEWTON,20365065,NA
pepTRIUNFO,20364887,NA
pepZUMACYN,20365137,NA
PLC,20351091,NA
R1_ARRCONEJO,17564188,NA
R5BIO-113,8020610,NA
pepTUNACYN,20365125,404SMB41A
R5BIO-111,948020220,518SDCAHR
R5BIO-112,2772782,518WLCBWL
R5BIO-110,8039745,R5BIO-110
R5BIO-119,7918017,NA
R5BIO-120,7930189,NA
R5BIO-148,14992105,NA
R5BIO-305,22555582,NA
SEDTMDL_71,8203477,309SED071
R5BIO-116,8021380,509CBCADC
R5BIO-114,8020498,509CTCADC
SEDTMDL_15,2772754,518SED015
R5BIO-117,7930205,526PRS117
R5BIO-118,7929123,526RSH118
R5BIO-201,17099749,539NDCACC
SAP10,17574745,NA
SGCR1,22525759,NA
R5BIO-202,17112885,NA
R5BIO-203,17113025,NA
R5BIO-205,21610265,NA
R5BIO-204,21610533,537GZCAMR
R5BIO-209,14917927,553TCCAKR
R5BIO-210,14970909,554PMCGWD_archived
SW3,20277733,603BCNFUR
R5BIO-6522,22548423,902SMRWGR
R5BIO-206,21609783,R5BIO-206
R5BIO-239,17113015,NA
SGEW1,22522845,SMC39100
R5BIO-211,14971045,554NYCGWD_archived
SGUT503,22522647,SGUT503
SGSG1,22522837,NA
405SGEACC,22522881,405SGEACC
R5BIO-212,14971199,R5BIO-212
SGLT506,22524847,SGLT506
SGUT504,22522845,SGUT504
R5BIO-306,22555684,NA
R5BIO-310,22554584,NA
R5BIO-312,22590043,NA
R5BIO-313,22591881,NA
R5BIO-317,22522825,NA
SEDTMDL_17,7952102,526SED017
SEDTMDL_16,14970823,554SED016
R5BIO-314,22590047,719WWRAEF
R5BIO-308,22555088,801CCCCTT
R5BIO-311,22557786,801LCMFAS
R5BIO-309,20350501,901ATCAAS
SEDTMDL_27,14971777,NA
SAP12,17574587,NA
SAP14,17574331,NA
SEDTMDL_21,2766258,507SED021
SEDTMDL_24,8020274,509SED024
SEDTMDL_105,17116209,540SED105
SEDTMDL_20,22059035,552SED020
SEDTMDL_19,14959631,554SED019
SEDTMDL_25,14971639,554SED025
SEDTMDL_26,14971209,554SED026
SEDTMDL_28,14972839,554SED028
SA-RB,948070570,NA
SASA1,22563212,NA
SASA4,22558780,NA
SASN1,22563210,NA
SASV1,22561262,NA
SEDTMDL_3,17118619,NA
SEDTMDL_30,2772790,518SED030
SEDTMDL_29,22059025,552SED029
SEDTMDL_32,8923167,632SED032
SEDTMDL_31,8941697,634SED031
SEDTMDL_33,8941733,634SED033
SEDTMDL_75,17693261,205SED075
SEDTMDL_72,17682238,304SED072
SEDTMDL_74,17682470,304SED074
SEDTMDL_76,17567931,403SED076
SEDTMDL_78,14992255,514SED078
SEDTMDL_79,8037193,518SED079
SEDTMDL_8,17129825,540SED008
SEDTMDL_34,8915463,630SED034
SEDTMDL_38,10744580,631SED038
SEDTMDL_39,8933664,635SED039
SEDTMDL_36,8933214,636SED036
R5BIO-420,2545549,NA
R5BIO-422,8287590,NA
R5BIO-429,8232336,NA
SEDTMDL_80,8037351,518SED080
SEDTMDL_81,2774294,518SED081
R5BIO-6470,22561262,801SCLCRx
R5BIO-6466,20332758,909SSWR01
R5BIO-6468,20325019,911PCH80x
R5BIO-6474,20325111,911TJLCC2
R5BIO-6472,22561262,801SCASxx 
R5BIO-417,8026304,R5BIO-417
RC-CC,22545437,NA
rcdOLDTOPA,20364981,NA
rcdTOPACYNBOT,20365153,NA
rcdTOPACYNLOW,20365153,NA
rcdTOPACYNUPP,20364965,404SMB075
RCMP_2012_1,8005837,513STCAIV
SEDTMDL_82,8040273,518SED082
RawsonCreek,20276871,603RCS1xx
R5BIO-6528,20343005,903FCPSPx
R5BIO-6526,20330882,905BCN1xx
R5BIO-6524,20334508,910OTJMC4
RCMP_2012_2,7991865,NA
RCMP_2012_3,7991799,NA
RCMP_2012_4,7991605,NA
RCMP_2012_5,7991719,NA
REF-BC_Boulder,20332528,NA
SEDTMDL_86,8036983,NA
SEDTMDL_87,8063379,517SED087
RCMP_2012_6,2775904,518CHCANF
SEDTMDL_85,8039419,518SED085
SEDTMDL_84,7918127,527SED084
SMC_UNK3,20348295,SMC_UNK3
Elwood Creek4,17596165,NA
ESC-MLS,20342595,NA
ESC-TWAS-1,20341953,NA
ALWC1,20348629,NA
Anza1,22595129,NA
SEDTMDL_90,8028282,518SED090
SEDTMDL_91,8040367,518SED091
SEDTMDL_93,8026570,518SED093
SEDTMDL_88,7929505,526SED088
SEDTMDL_9,17114835,540SED009
ALAC2,20350507,901ACPPDx
Anza2,22597403,NA
AR4,15007313,NA
AR4 2Fall,15007313,NA
BPC1,22595587,NA
BPC2,22595591,NA
BPC3,22597457,NA
BPC4,22595581,NA
BPC5,22595545,NA
Capitan1,17593509,NA
BPC-1,20277215,603BPCBLP
BVC-TWAS-1,20341853,904CBBVR4
Capitan2,17594339,NA
Carrizo1,20344463,NA
LCPCT1,20325091,NA
Malibu_PC_Potrero,20364753,NA
R1_CONCRK,17564924,NA
R5BIO-020,8944519,NA
SDSD3,20355376,NA
SEDTMDL_4,20195036,532CRNFCC
SEDTMDL_97,20195626,532SED097
R5BIO-213,14971713,554PMCABC_archived
SEDTMDL_96,8944479,634SED096
b11427700,14992381,NA
b11427750,14992381,NA
Islay2,8192765,NA
JC,20351617,NA
JonLee1,7952274,NA
JonLee2,8257759,NA
JonLee3,4441644,NA
JonLee4,8243680,NA
JS1 2Fall,7970645,NA
JonLee6,8315609,107LLM101
205R00686,17692595,205R00686
Malibu_TRI,20364827,NA
MALV1,20364891,NA
MAMC2,20365063,NA
MAMD1,20364867,NA
Manzanita1,22601249,NA
MC,22561350,NA
MCMC1,17595453,NA
MCRC1,17595305,NA
MER007,19777291,NA
MER536,19771685,NA
Pendleton2,22548567,NA
R1_ELEANOR,20364843,NA
R1_LASFLORES,20365165,NA
R1_LIBCYN,20364949,NA
SEDTMDL_5,17116189,540SED005
SEDTMDL_54,20274997,603SED054
SEDTMDL_43,8915871,630SED043
SEDTMDL_52,10744604,631SED052
SEDTMDL_51,8924051,633SED051
SEDTMDL_41,20295579,637SED041
SEDTMDL_42,20296767,637SED042
SEDTMDL_53,20295765,637SED053
R1_MALICRK,20364983,NA
R1_MEDCRK,20364677,NA
R1_RAMICYN,20365191,NA
R1_SULLCYN,20365901,NA
R1_WFTRANCAS,20365029,NA
R5BIO-021,8943577,NA
R5BIO-026,8942497,NA
R5BIO-023,8943647,634GACALL
R5BIO-027,8944545,634HHCATC_archived
R5BIO-022,8941743,634MKCBLG
R5BIO-024,8943969,634UTRADC
R5BIO-028,8941693,NA
R5BIO-030,8941685,NA
R3_TOPANGA,20365053,NA
R5BIO-032,344103,NA
SEDTMDL_100,7952346,526SED100
SEDTMDL_1,346373,534SED001
SEDTMDL_10,17099747,539SED010
SEDTMDL_102,17099831,539SED102
R5BIO-029,8941685,634WRD029
SDSR1,20355506,801M13967
R5BIO-031,8944533,R5BIO-031
R5BIO-034,17074635,NA
R5BIO-036,948020898,NA
R5BIO-037,7962109,NA
R5BIO-044,8235160,NA
R5BIO-046,7925095,NA
SEDTMDL_103,14983378,514SED103
SEDTMDL_104,8028320,518SED104
R5BIO-047,7925033,526WTCACT
R5BIO-038,346305,534CFSAIM
R5BIO-033,343481,R5BIO-033
R5BIO-042,2557039,R5BIO-042
R5BIO-125,7932037,NA
R5BIO-126,7948924,NA
R5BIO-129,8058075,NA
R5BIO-133,20294477,NA
R5BIO-214,14970699,NA
205R01816,17693241,NA
R5BIO-127,8058251,517PLC127
R5BIO-124,7930055,526ESCAMC
R5BIO-215,14946858,554LCCADR
R5BIO-132,8933718,635PCNA89_archived
R5BIO-130,8933524,636SHCWES
R5BIO-216,346855,NA
R5BIO-217,17076301,NA
R5BIO-218,346825,NA
R5BIO-223,347541,NA
R5BIO-226,14918241,NA
R5BIO-134,20291239,NA
R5BIO-230,17081735,536TRMACC
R5BIO-221,17118243,540MNCANF
R5BIO-228,22058895,552KRSFBC
R5BIO-227,14917763,553KRMFHC
R5BIO-108,8041805,R5BIO-108
R5BIO-234,21609641,NA
R5BIO-135,14983378,NA
R5BIO-136,14981576,NA
R5BIO-138,14997613,NA
R5BIO-141,8057997,NA
R5BIO-139,2772588,518KNCAWC_archived
R5BIO-140,8027050,518WLCBCP
R5BIO-232,21609379,537TYCAML
R5BIO-231,21610453,R5BIO-231
R5BIO-233,17081909,R5BIO-233
R5BIO-235,17081739,R5BIO-235
R5BIO-142,8039333,NA
R5BIO-143,8038015,NA
634ANG001,8943617,634ANG001
634BLW001,8941693,634BLW001
634CAS001,8943579,634CAS001
634CAT055,8941755,634CAT055
634CLD001,8944471,634CLD001
634EGL005,8943545,634EGL005
634GEN001,8941733,634GEN001
634GRF001,8941997,634GRF001
634HEV001,8944443,634HEV001
635MAR005,8933910,635EMTCAM
635MAR004,8933950,635MAR004
635POL001,8934374,635PLCATR
635PRN001,8934348,635PRN001
635PRS001,8933718,635PRS001
635SQL001,8934052,635SQL001
635SQM001,8934052,635SQM001
635SQM003,8934052,635SQM003
635SQN001,8934376,635SQN001
635SQS001,8934382,635SQS001
901ATCDOS,20350681,901ATCDOS
901CARISO,20348275,NA
901NICKEL,20348887,NA
907CLARK,20332770,NA
907CUYATR,20332562,NA
901CSCADC,20351599,901CSCADC
901DCCSMC,20351605,901DCCSMC
901BLUWAT,20348769,901NP9BWR
901NP9FLC,20348203,901NP9FLC
907CONECR,20332804,907CONECR
901CRIST,20350799,CC-CR
901NP9CSC,20348441,901NP9CSC
907FTNSVR,20332638,NA
907GOODAN,20332684,NA
907NP9KLC,20332454,NA
BlackStar2,22561046,NA
Carrizo2,20344463,NA
Arrastre1,22629118,NA
b11433300,14997511,NA
907SDCHC3,20332948,907SDCHC3
907SDFRC2,20331412,907SDFRC2
907SDSVC3,20332430,907SDSVC3
911NCPCR2,20324991,911NCPCR2
KellyTributary,17610939,NA
MER542,19771685,NA
R2_BULLDOG,20365893,NA
Castro,20341481,NA
CBAH1,20342571,NA
CBLA1,20341857,NA
CCCP,20350845,NA
CLSD1,20350837,NA
R5BIO-048,7928665,526PNCAMF
CC-FB,20331550,908CCTNFA
CBES1,20341969,SMC43269
ColdSpringCanyon,20348441,NA
Cooper1,22550565,NA
Cooper2,22549569,NA
Arrastre2,22628994,NA
Arrastre3,22628994,NA
b10340500,8933736,NA
b10343500,8933518,NA
b11216500,22050465,NA
b11230530,17118355,NA
b11230531,17118323,NA
b11237500,17116209,NA
b11264500,21609533,NA
b11443500,14983408,NA
BC3,1680023,NA
BC3 2Spring,1678531,NA
BCC-3,20348729,NA
BigPineCreek,20277261,NA
BlackStar1,22560950,NA
Etiwanda2,22555034,NA
L_BELLCYN,22514808,NA
L_CHEESEBORO,20365885,NA
b11441500,14981972,514ICE001
b11441800,14981742,514UNI001
Etiwanda1,22555032,801EEWADD
L_DEERCYN,20365079,NA
L_ERBES_Upper,17564100,NA
L_LAJOLLA,20363901,NA
L_LIBERTYCYN,20364893,NA
L_LINDEROCYN,948070152,NA
L_LNGRNCH_South,17564100,NA
L_MALIBUCYN_Lower,20365167,NA
MER546,2833552,NA
MER579,2829084,NA
Mesa Creek,20344399,NA
Mission,22590143,NA
Moreno,20325201,NA
MTMT1,20348679,NA
npsLAJOLLA,20363893,NA
Oak1,20325071,NA
R2_CHEESEBORO,20364729,NA
R2_CIRCLEX,20365005,NA
R2_ESCONDIDO,20365187,NA
R2_LASVIRGENES,20364891,NA
R2_OLSEN,17564022,NA
R2_RUSTIC,20365905,NA
PC1,17574729,PC1
R2_SANTAYNEZ,20365071,NA
R2_SUTTPHUR,20364861,NA
Indian2,22595429,NA
L_PALOCOMADO,20364701,NA
PC2,17574729,NA
R2_TRIUNFO,20364827,NA
R5BIO-051,14993493,NA
R5BIO-052,14991647,NA
R5BIO-106,2773598,NA
R5BIO-049,7960907,505BMCMCR
R5BIO-053,14992341,514DNCLDC
R5BIO-107,8036963,NA
L_RAMIREZCYN,20365191,NA
L_RUSTICCYN,20365905,NA
L_SERRANO,20364929,NA
L_SULLIVANCYN,20365901,NA
L_WOODCYN,20363879,NA
LAAS1,22514774,NA
LAC-TWAS-1,20341857,NA
LADC1,22514978,NA
LALA1,22514854,NA
LALK1,22515790,NA
PC3,17574579,NA
PC-MLS,20331276,NA
PC-TWAS-1,20331334,NA
PC-TWAS-2,20331188,NA
PCWF,17574579,NA
Pendleton1,22548567,NA
R3_ARRSEQOV,20364991,NA
R3_COLDCRK,20364977,NA
R3_CONCRK,17564110,NA
PC5,17574579,PC5
PC6,17574579,PC6
PC7,17574579,PC7
R3_CRAGSRD,20364959,NA
R3_CROSSCRK,20365167,NA
R3_LADYFACE,20364779,NA
R3_LIBCYN,20364893,NA
R3_MALICRKSP,20364983,NA
R3_TOPACRK,20364965,NA
b11318500,17056948,NA
FCFC1,17595473,NA
FishCreek,17569667,NA
GS11Fall,7971101,NA
GSAT1,17595361,NA
GSSJ1,17596109,NA
GVC-WB,20328634,NA
Hathaway,22591385,NA
HBCC,22558848,NA
Heavenly1,8944443,NA
603WER245,20265507,603WER245
603WKR001,20267871,603WKR001
624SCN001,20206556,624SCN001
626BRCNVY,22684930,626BRCNVY
630BDY001,8915047,630BDY001
631COW001,10744572,631COW001
543EAN050,-9999,NA
543KEL010,1894908,NA
543KEL020,-9999,NA
543KEL030,-9999,NA
543KEL040,1894908,NA
543MSH090,1897008,NA
543MSH110,1893740,NA
543MSH120,1893578,NA
543MSH140,1893626,NA
630BUC001,8915031,630BUC001
630PMT001,8914981,630PMT001
601RSH002,20287338,NA
601RSH001,20287310,601RSH001
601WRN001,20287280,601WRN001
602FC1102,20288196,602FC1102
602LWT001,20288326,602LWT001
603DDM001,20274997,603DDM001
603DDM002,20274997,603DDM002
633WCR003,8922817,633WCR003
634HID001,8944521,634HID001
635TRO001,8933856,635TRO001
901NP9HJC,20348197,901NP9HJC
Coyote1,20343261,NA
b11276600,17082145,NA
Horse1,20325121,NA
631SRD001,10745090,631SRD001
631WWF001,10744472,631WWF001
631WWK002,10744436,631WWK002
631WWK003,10744450,631WWK003
631WWK004,10744504,631WWK004
631WWK005,10744660,631WWK005
631WWK006,10744660,631WWK006
907SSDR11,20331934,907SSDR11
632BGV003,8923083,632BGV003
634MEK001,8941743,634MEK001
634MKC278,8941723,634MKC278
634R10BMW,8944559,634R10BMW
634R10GNL,8941733,634R10GNL
634R10UTR,8943711,634R10UTR
634SAX001,8944529,634SAX001
634SAX002,8944515,634SAX002
634SAX004,8944515,634SAX004
634SAX005,20300569,634SAX005
635MAR001,8933944,635MAR001
Horse2,20325109,NA
HTB_02,20365061,NA
HTB_04,20365891,NA
HTB_05,20364955,NA
HTB_06,20364729,NA
HTB_07,20364801,NA
HTB_09,20364689,NA
Indian1,22597433,NA
636LCY001,8933416,636LCY001
636LTR002,8933152,636LTR002
901TALEGA,20348935,NA
636SAG001,8933518,636SAG001
641OWC157,20318242,641OWC157
705PCCPCP,22630702,705PCCPCP
719ADCNPS,22592131,719ADCNPS
901NP9LCC,20348321,901NP9LCC
901SCCA74,20348351,901SCCA74
901SJC74x,20350533,901SJC74x
901SJSJC9,20350775,901SJSJC9
901TCSMP1,20348259,901TCSMP1
901NP9MRC,20348347,901NP9MRC
901TENAJA,20348623,NA
b11278000,17081409,NA
b11292700,344873,NA
b11294000,347483,NA
b11298000,343847,NA
b11315000,17053540,NA
902NP9ISC,22549539,NA
b11278300,17082139,536CRC283
802FMCAIP,22535100,802FMCAIP
902DLCDLM,22548347,902DLCDLM
902RCBWGR,22548475,902RCBWGR
902NP9CWC,22549643,902NP9CWC
907SWARTZ,20330024,NA
907SYCAM,20332848,NA
907WSYCA,20331342,NA
907WTSVR,20332678,NA
909DESCTR,20332838,NA
902SMSND3,22548453,902SMSND3
903ACPCT1,20343195,903ACPCT1
903CVPCT1,20343315,903CVPCT
SMC35439,20343005,SMC35439
903NP9PRC,20344397,903NP9PRC
903NP9SLR,20343009,903NP9SLR
632CHV001,8922899,632CHV001
634TAY001,8943577,634TAY001
719HOTCPF,22592597,719HOTCPF
909NP9DCC,20332808,909NP9DCC
903SLMSA2,20341683,903SLMSA2
903SLSLR3,20343345,903SLSLR3
911NP9EPC,20325177,911NP9EPC
909JQCASR,20332720,909JQCASR
903SLKYS3,20341665,903M20700
911NP9HTC,20325165,911NP9HTC
632COY002,8925269,632COY002
632CRV001,8924905,632CRV001
632DIX001,8924127,632DIX001
632ECR006,8923109,632ECR006
632ECR008,8923165,632ECR008
632ELD001,8924895,632ELD001
632GOL001,8925267,632GOL001
634TLC001,8943571,634TLC001
634TRT001,8944533,634TRT001
634TRT003,8944453,634TRT003
904CBESC8,20342595,904CBESC8
519CR0904,7978069,519CR0904
519CR0912,15024989,519CR0912
519DRCGRP,15022325,519DRCGRP
519KBC11A,15034447,519KBC11A
634TRT004,8944453,634TRT004
634TRT005,8944501,634TRT005
634TRU231,8943697,634TRU231
634UTR001,8944503,634UTR001
634UTR003,8944503,634UTR003
634UTR004,8943613,634UTR004
519KBCR11,15034465,519KBCR11
519SED018,15034579,519SED018
519SED019,15034579,519SED019
519SED021,15034479,519SED021
519SED023,15034611,519SED023
519SHCOHR,20196260,519SHCOHR
520BKSMDR,2847235,520BKSMDR
520BTCH99,1680023,520BTCH99
520CLCANR,1678959,520CLCANR
552FC1226,22047753,552FC1226
719NP7SGR,22590247,NA
541SS5xxx,19772197,541SS5xxx
632HOS001,8922749,632SED035
719MISSCK,22591029,719MISSCK
719NP7BNC,22591845,719NP7BNC
719NP7DPC,22592497,719NP7DPC
719NP7LBC,22591861,719NP7LBC
719NP7TWP,22591981,719NP7TWP
719TPPSQH,22591993,719TPPSQH
719TQCNPS,22593497,719TQCNPS
719WWRPUS,22591251,719WWRPUS
543EAN020,-9999,NA
543MSH150,1893746,NA
904ESCVCR,20341863,NA
531BRCJRD,3953369,531BRCJRD
531LGCCSR,3951587,531LGCCSR
531LJCSRx,2819530,531LJCSRx
542DPCDPC,16594797,542DPCDPC
603DDM004,20272507,603DDM004
630RBS001,8915057,630RBS001
632HEN001,8922903,632HEN001
634UTR005,8943661,634UTR005
532CRM206,20195504,532CRM206
532FC1181,20196232,532FC1181
532FC1271,17053944,532FC1271
532SFC142,20195324,532SFC142
536WER237,17082155,536WER237
537ADCH41,21610265,537ADCH41
537BLCABG,21609655,537BLCABG
537MDR255,21609965,537MDR255
537WER236,21609171,537WER236
539CCRARR,17100087,539CCRARR
540CDC136,17114989,540CDC136
543MSH160,1894144,NA
543MSH170,1894144,NA
543MSH180,1894362,NA
543WAN050,1892042,NA
543WAN060,-9999,NA
543WAN080,-9999,NA
544MSH020,1896910,NA
540MRC196,17112759,540MRC196
544CR1003,1897364,544CR1003
544MRCMCR,1893394,544MRCMCR
554SED027,14971777,554SED027
Coyote2,20343281,NA
DayCanyon,22554908,NA
DC101Fall,15022339,NA
DC31Fall,15022307,NA
DC4 2Spring,15024787,NA
DosPueblos1,17594345,NA
603DDM006,20272519,603DDM006
603GLS001,20273531,603GLS001
603MAM003,20274019,603MAM003
DGSY1,20329654,905DGSY1x
911TCAM01,20326431,911TCAM01
603MAM005,20274027,603MAM005
603MCG001,20274255,603MCG001
603OHR001,20275047,603OHCAOR
603PNC001,20276531,603PNC001
630RBS002,8915057,630RBS002
630RBS003,8915935,630RBS003
630RBS004,8915935,630RBS004
630RBS005,8915425,630RBS005
630SWA001,8914891,630SWA001
630SWA002,8914891,630SWA002
630SWA003,8914835,630SWA003
632KIN001,8923177,632KIN001
632LEV004,8924099,632LEV004
632MRK001,8922785,632MRK001
632MUR001,8924913,632MUR001
632NOB001,8923157,632NOB001
632PSN001,8922751,632PSN001
632SND001,8923273,632SND001
634WRD001,8941685,634SED050
634UTR006,8943685,634UTR006
634UTR007,8943685,634UTR007
634UTR008,8943705,634UTR008
634WSN001,8941661,634WSN001
635ALD001,8934352,635ALD001
635BRC001,8933688,635BRC001
635CLS001,8934354,635CLS001
722NP7CGC,22597433,722NP7CGC
722NP7IDC,22595407,722NP7IDC
801CCWFAC,22555028,801CCWFAC
801CTCNHL,22555756,801CTCNHL
801FC1089,22563072,801FC1089
801FDCCCR,22555582,801FDCCCR
801PNCEHL,22555860,801PNCEHL
905BDNSPV,20329796,NA
801WCCAHS,22555344,801WCCAHS
905BCC,20329660,905BCC
905DGCC1,20329572,905DGCC1x
905DGUT1,20329534,905DGUT1x
905KCCSDx,20328612,905KCCSDx
905SDBDN9,20329780,905SDBDN9
905SDGVC2,20328634,905SDGVC2
905SDISS2,-9999,905SDISS2
911TCCTCX,20325057,911TCCTCx
ABAB1,17596153,NA
AHC-ECR,20341917,904AHC003
909NP9UNT,20332904,909NP9UNT
