stationcode,sampledate,result,masterid,latitude,longitude,huc,county,smcshed
CC-CR,2017-04-10T07:00:00Z,0.6171710080558592,CC-CR,33.45942,-117.56869,901,Orange,San Juan
REF-TCAS,2017-06-01T07:00:00Z,0.7728314092454815,REF-TCAS,33.67399,-117.53722,901,Orange,San Juan
SJC-74,2017-06-01T07:00:00Z,0.692113340059574,SJC-74,33.51925,-117.62523,901,Orange,San Juan
REF-FC,2017-04-10T07:00:00Z,0.6860672448258223,REF-FC,33.79101,-117.71934,801,Orange,Lower Santa Ana
TC-DO,2017-06-22T07:00:00Z,0.51430261452362,901ATCDOS,33.4981,-117.66593,901,Orange,San Juan
ACJ01,2014-06-30T07:00:00Z,0.4891480504627525,ACJ01,33.52412,-117.73851,901,Orange,San Juan
SMC00254,2017-06-29T07:00:00Z,0.8270192540132109,SMC00254,33.83758,-118.05377,845,Orange,San Gabriel
SMC06904,2014-07-08T07:00:00Z,0.5759395980519577,SMC06904,34.41963,-118.78769,403,Ventura,Santa Clara
SMC00574,2017-05-03T07:00:00Z,0.4860478261867364,SMC00574,33.87972,-118.10851,405,Los Angeles,San Gabriel
SMC03390,2017-05-03T07:00:00Z,0.46474780683330846,SMC03390,33.82267,-118.09186,405,Los Angeles,San Gabriel
SMC04670,2017-05-03T07:00:00Z,0.45124000275492937,SMC04670,33.86506,-118.10456,405,Los Angeles,San Gabriel
SMC00608,2017-05-02T07:00:00Z,0.5338228331467244,SMC00608,34.12344,-117.90223,405,Los Angeles,San Gabriel
SMC00236,2017-05-02T07:00:00Z,0.8115461005315251,SMC00236,34.08951,-117.94783,405,Los Angeles,San Gabriel
SMC00544,2017-06-14T07:00:00Z,0.7227455194522089,SMC00544,34.14677,-117.74153,405,Los Angeles,San Gabriel
SMC00288,2017-06-14T07:00:00Z,0.47700457106396715,SMC00288,34.13118,-117.76,405,Los Angeles,San Gabriel
