COMID,D_lat,D_long
17682452,37.05261,-122.071937
17682452,37.058068,-122.07581
8192639,35.30229,-120.77625
17682434,37.06056,-122.02953
8201815,36.616943,-121.522908
17682384,37.111361,-122.090062
17682384,37.10753,-122.08628
17682384,37.101906,-122.085852
17682384,37.099101,-122.086424
17682384,37.094457,-122.086398
17682384,37.088778,-122.088171
17620018,34.790148,-120.610764
17682432,37.06853,-122.083191
17600113,36.52517,-121.83123
17600113,36.52517,-121.83123
17600113,36.53034,-121.85781
17684378,36.979691,-121.957352
17684378,36.979772,-121.957498
17684378,36.98484,-121.95714
17684378,36.99128,-121.95592
17684378,36.99337,-121.95599
8190759,35.568256,-121.065123
17682552,37.01918,-122.01106
17682552,37.01463765,-122.0111167
17682552,37.0092,-122.01031
17684372,36.97611,-121.89787
17663387,36.875459,-121.561359
8200463,36.64891,-121.70724
17601657,36.37195,-121.66317
17683350,37.03078557,-121.9479124
17682692,37.010549,-122.043787
17682692,37.01709,-122.052136
17682692,37.012541,-122.042804
17682692,37.024726,-122.057395
17682692,37.017385,-122.060362
17661523,37.02576,-121.77505
17683328,37.05537,-121.92271
17647965,35.709835,-120.304822
8190201,35.89373,-121.46053
8191209,35.568188,-121.104232
948060248,36.977538,-121.510053
948060248,36.976251,-121.512345
17683316,37.05537,-121.92271
17663729,36.788543,-121.359735
17600111,36.536252,-121.912417
17600111,36.536226,-121.9124
17600111,36.53613,-121.91233
8187663,36.52197,-121.92498
17683374,37.018274,-121.996844
17683374,37.03894,-121.99648
17683374,37.03468715,-121.9968328
17683374,37.02137967,-121.995839
17606205,36.796173,-121.783227
17682410,37.08107,-122.01118
8193581,35.354387,-120.827733
8193581,35.35466,-120.827815
17682276,37.157724,-122.117295
17682276,37.151939,-122.12347
17682276,37.149668,-122.125096
17682276,37.142367,-122.131819
17682386,37.088112,-122.088608
17682386,37.088233,-122.088541
17604473,36.692234,-121.62918
17683308,37.075511,-121.991478
17683308,37.067576,-121.99678
17682246,37.163546,-122.162753
17682246,37.153787,-122.162151
8193607,35.3059,-120.81171
17600475,36.47437,-121.728416
17682556,37.00698,-122.040812
17682278,37.15184999,-122.1358646
17682278,37.14850834,-122.1371611
17682178,37.20620823,-122.1450048
17682178,37.195089,-122.146137
17682178,37.18329956,-122.1419606
17599345,36.53331,-121.86893
17599345,36.5258716,-121.8676867
17601661,36.37195,-121.66317
17600479,36.4863,-121.81029
17600773,36.39113996,-121.5948132
17600781,36.39113996,-121.5948132
17604269,36.765081,-121.759421
17683402,37.001405,-121.906196
17683402,37.017817,-121.904343
17683402,37.001405,-121.906196
17682412,37.074247,-122.084113
17682412,37.069855,-122.084164
