stationcode,sampledate,asci,comid,masterid
SMC00693,2010-05-31T07:00:00Z,0.689638838163468,20341661,SMC00693
SMC00921,2010-06-02T07:00:00Z,0.5510548214995026,20341947,SMC00921
SMC00191,2010-07-12T07:00:00Z,0.9699615074062236,17573663,403BA0191
904WE1125,2017-04-25T07:00:00Z,0.25179131068188737,20341953,904WE1125
SMC01694,2010-06-28T07:00:00Z,0.7802577628576658,22527375,SMC01694
SMC01726,2010-06-30T07:00:00Z,0.9867326443250432,22525751,SMC01726
SMC16832,2010-06-18T07:00:00Z,0.7950608901486197,22525157,SMC16832
SMC20032,2010-06-18T07:00:00Z,0.6727167970314764,22525157,SMC20032
SMC00135,2010-06-07T07:00:00Z,1.2546945161887246,22558972,801S00135
909WE0662,2017-05-05T07:00:00Z,0.6864564967483172,20332896,909WE0662
SMC00926,2010-06-28T07:00:00Z,0.9671549442754093,22527363,SMC00926
SMC01452,2010-07-15T07:00:00Z,0.4949653062229297,22515818,SMC01452
SMC01196,2010-07-14T07:00:00Z,0.9476878643204557,22514614,SMC01196
SMC01544,2010-07-14T07:00:00Z,0.6762655786087021,22515726,SMC01544
SGUR103,2010-07-22T07:00:00Z,1.0765791994202836,22520987,SGUR103
SGUT503,2010-05-27T07:00:00Z,0.870140661282067,22522647,SGUT503
SMC00318,2010-06-15T07:00:00Z,0.5312481052176187,22518274,SMC00318
SMCR8_605,2009-07-01T07:00:00Z,0.9462855507691705,22536092,802RB8605
SMCR8_613,2009-06-29T07:00:00Z,0.6752142849110424,22560388,801RB8613
SMCR8_688,2009-07-01T07:00:00Z,1.0248454890749614,22536092,802RB8688
SMCR8_513,2009-06-22T07:00:00Z,0.8306800523852098,22536110,802RB8513
SMCR8_572,2009-06-30T07:00:00Z,0.41422288434564564,22557930,SMC12279
SMCR8_600,2009-06-28T07:00:00Z,1.183219778524895,24843846,NA
SMCR8_601,2009-06-24T07:00:00Z,0.8566520089139839,22558000,801RB8601
SMCR8_184,2009-07-07T07:00:00Z,0.952247714981748,22555476,801BRC184x
SMCR8_218,2009-06-22T07:00:00Z,1.2233966147420596,22535100,802RB8218
SMCR8_219,2009-07-06T07:00:00Z,0.7643590709394444,22558904,SMC46884
SMCR8_327,2009-06-28T07:00:00Z,1.190946038363207,22558038,801RB8327
SMCR8_474,2009-07-05T07:00:00Z,1.0167083384273914,22554688,801RB8474
SMC11581,2009-06-29T07:00:00Z,0.5560171032688919,22563070,SMC11581
SMC15677,2009-06-29T07:00:00Z,0.678051670150573,22563070,SMC15677
SMC26288,2009-05-12T07:00:00Z,0.5811038778746218,22561102,SMC26288
SMCR8_124,2009-06-24T07:00:00Z,0.9267099386172254,22558296,NA
SMC04399,2009-06-11T07:00:00Z,0.5095354806950928,17586972,SMC04399
SMC04749,2009-06-23T07:00:00Z,0.49868044735836436,22532850,SMC04749
SMC05109,2009-06-23T07:00:00Z,0.6005801386101066,22548249,SMC05109
SMC06216,2009-05-26T07:00:00Z,0.8926260300066906,22514628,SMC06216
SMC08845,2009-06-22T07:00:00Z,0.7523752687061834,22532816,SMC08845
SMC04054,2009-05-27T07:00:00Z,0.45120369210781563,20331414,SMC04054
SMC01278,2016-06-23T07:00:00Z,0.6746688020642334,22524991,SMC01278
SMC04175,2009-06-11T07:00:00Z,0.6696966931208693,17586810,SMC04175
SMC04239,2009-06-11T07:00:00Z,1.0618095056750587,17587720,SMC04239
SMC04308,2009-06-17T07:00:00Z,0.5857065141390466,17564110,SMC04308
SMC02436,2009-05-28T07:00:00Z,0.4581636373626728,17563970,SMC02436
SMC02656,2009-06-23T07:00:00Z,0.7426586416466565,22523199,SMC02656
SMC03268,2009-05-28T07:00:00Z,0.3267539693868773,17562656,SMC03268
SMC04047,2009-05-14T07:00:00Z,1.2521139462493571,17586578,SMC04047
SMC01990,2009-05-21T07:00:00Z,0.8113487349238738,20331470,SMC01990
SMC02006,2009-05-26T07:00:00Z,0.9715101476143284,20333004,SMC02006
SMC02127,2009-06-04T07:00:00Z,0.6798921150308238,17586736,SMC02127
SMC02228,2009-06-23T07:00:00Z,0.3002498466943059,22515036,SMC02228
SMC01717,2009-05-28T07:00:00Z,0.46185153166771686,20341551,SMC01717
SMC01748,2009-06-03T07:00:00Z,0.5644459709128578,163864411,SMC01748
SMC01860,2009-05-28T07:00:00Z,0.5515820817901635,17564046,SMC01860
SMC01909,2009-06-09T07:00:00Z,0.44769453423284616,20341649,SMC01909
SMC01278,2009-06-17T07:00:00Z,0.9876811401819837,22524991,SMC01278
SMC01424,2009-07-01T07:00:00Z,1.235726788021892,22522841,SMC01424
SMC01606,2009-05-26T07:00:00Z,0.6339775695614798,20331408,SMC01606
SMC01684,2009-06-03T07:00:00Z,0.9773508200253711,17563890,SMC01684
SMC01151,2009-06-17T07:00:00Z,0.8486108679891169,948070358,SMC01151
SMC01155,2009-05-12T07:00:00Z,0.5615089058950122,22561192,SMC01155
SMC01258,2009-05-27T07:00:00Z,0.615801354098767,948070399,SMC01258
SMC00911,2009-06-04T07:00:00Z,1.2115722734161116,17585780,SMC00911
SMC00924,2009-06-09T07:00:00Z,0.7709784114939241,22514774,SMC00924
SMC01040,2009-06-09T07:00:00Z,1.0875675018864208,22514424,SMC01040
SMC01046,2009-05-21T07:00:00Z,0.732127176624924,20331476,SMC01046
SMC00729,2009-06-03T07:00:00Z,0.46099231452758577,20341931,SMC00729
SMC00827,2009-06-15T07:00:00Z,0.6917419866431613,17567969,SMC00827
SMC00873,2009-05-19T07:00:00Z,0.9164692712143356,20348415,SMC00873
SMC00910,2009-04-30T07:00:00Z,0.34564902554622545,20350539,SMC00910
SMC00520,2009-05-19T07:00:00Z,0.8714203933044942,22514494,SMC00520
SMC00531,2009-05-18T07:00:00Z,0.7230149376575885,20348625,901S00531
SMC00670,2009-05-21T07:00:00Z,0.50953756211704,22525749,SMC00670
SMC00710,2009-05-20T07:00:00Z,0.8084595091400076,20331322,SMC00710
SMC00464,2009-05-08T07:00:00Z,0.9056011334512696,22524649,SMC00464
SMC00473,2009-06-03T07:00:00Z,0.42891363264733007,20329176,SMC00473
SMC00476,2009-06-08T07:00:00Z,1.0621618942569289,22515784,SMC00476
SMC00436,2009-05-26T07:00:00Z,0.4846819339780074,22515824,SMC00436
SMC00440,2009-05-20T07:00:00Z,0.6050147693559128,22515786,SMC00440
SMC00457,2009-06-04T07:00:00Z,0.592599134156368,20342525,SMC00457
SGUT503,2009-05-08T07:00:00Z,1.0493232401128687,22522647,SGUT503
SMC00105,2009-05-12T07:00:00Z,0.9519991766466436,22561260,SMC00105
SMC00153,2009-06-08T07:00:00Z,0.41074078971183997,20342539,SMC00153
405PS0036,2016-07-11T07:00:00Z,0.7154575919623687,22522825,405PS0036
405CE0280,2016-06-09T07:00:00Z,0.8810690138907127,22522879,405CE0280
402M00015,2016-06-06T07:00:00Z,0.7590357598460471,948070366,402M00015
SMC09698,2016-04-26T07:00:00Z,0.947762710913866,22536092,802S09698
SMC11581,2016-05-24T07:00:00Z,0.6824678987867026,22563070,SMC11581
ME-CC,2017-05-30T07:00:00Z,0.4266115379398816,17562626,ME-CC
402M00030,2017-04-19T07:00:00Z,1.0854158216606122,17586682,402M00030
403M01500,2016-06-15T07:00:00Z,0.7789143183887091,17573685,403M01500
404M07358,2016-06-16T07:00:00Z,0.7461245365995978,20366115,404M07358
403M01522,2016-06-29T07:00:00Z,0.6677073160546533,17574677,403M01522
403M01528,2016-06-15T07:00:00Z,0.5736903259453197,17573685,403M01528
403M05774,2016-06-22T07:00:00Z,0.20699787326146155,17574585,403M05774
403M05780,2016-05-26T07:00:00Z,0.7048897889017455,17569783,403M05780
404M04599,2016-08-03T07:00:00Z,1.1189545217810402,20365005,404M04599
404M07354,2016-06-16T07:00:00Z,0.6914935787904529,20365205,404M07354
404M07357,2016-06-13T07:00:00Z,0.9415153442509642,20365153,404M07357
408BA0660,2016-06-20T07:00:00Z,0.5024865693856436,17563970,408BA0660
412WE0552,2016-06-08T07:00:00Z,0.9536517603832405,22514712,412WE0552
408M03027,2016-06-29T07:00:00Z,0.45096750811815056,948070330,408M03027
408M03036,2016-06-20T07:00:00Z,0.46345799193422205,17562610,408M03036
801M12644,2016-04-28T07:00:00Z,0.7148199662289976,22563124,801M12644
412PS0020,2016-06-02T07:00:00Z,0.5371577787960665,22515828,412PS0020
412PS0040,2016-07-14T07:00:00Z,0.2873650153261804,22515806,412PS0040
801M12641,2016-05-19T07:00:00Z,0.5720882678228405,20355352,801M12641
801M16908,2016-05-24T07:00:00Z,0.2208911917803545,22560628,801M16908
801M12649,2016-05-11T07:00:00Z,0.7124002250419831,20355380,801M12649
901M14134,2016-04-25T07:00:00Z,0.4635389267921117,20348435,901M14134
902M18865,2016-05-05T07:00:00Z,0.6224286275979014,22548275,902M18865
902WE0888,2016-06-06T07:00:00Z,0.8155862817720049,22548347,902WE0888
904WE1125,2016-06-14T07:00:00Z,0.5328500156273718,20341953,904WE1125
903M20165,2016-06-07T07:00:00Z,0.45814651058006317,948070417,903M20165
903M20166,2016-05-02T07:00:00Z,0.7313739584948815,20342531,903M20166
904M21729,2016-06-14T07:00:00Z,0.48295698762706396,20341969,904M21729
905M21725,2016-05-17T07:00:00Z,0.49419061862539676,20328662,905M21725
905M21737,2016-05-18T07:00:00Z,0.5844122192331523,20329184,905M21737
905PS0026,2016-05-05T07:00:00Z,0.6273322043536498,20330878,905PS0026
907M23327,2016-06-08T07:00:00Z,0.5497724579138279,20332972,907M23327
907M23330,2016-06-09T07:00:00Z,1.0671625375874831,20330036,907M23330
907M23348,2016-06-17T07:00:00Z,0.8473925734951238,20331482,907M23348
SMC02996,2014-06-11T07:00:00Z,0.5816017666144723,22514962,SMC02996
909M24925,2016-05-10T07:00:00Z,0.8740268631158666,20334440,909M24925
909WE0662,2016-05-10T07:00:00Z,0.9565999572860376,20332896,909WE0662
SMC07128,2014-07-15T07:00:00Z,0.48672459345266245,22515710,SMC07128
911M24926,2016-03-23T07:00:00Z,0.8975593725078405,20325559,911M24926
SMC00105,2016-04-28T07:00:00Z,0.6397872703550652,22561260,SMC00105
SMC00206,2016-05-17T07:00:00Z,0.5965708872322315,20350529,SMC00206
SMC00271,2016-06-22T07:00:00Z,1.1992769186556052,17568061,403M01539
SMC00464,2014-06-04T07:00:00Z,0.6043985231822064,22524649,SMC00464
SMC00873,2016-04-25T07:00:00Z,0.7434149425754023,20348415,SMC00873
SMC01097,2016-05-06T07:00:00Z,0.5577646940255426,22549067,902S01097
SMC01384,2016-06-14T07:00:00Z,0.994281077682487,20365093,SMC01384
SMC01544,2016-06-14T07:00:00Z,0.8984458204705926,22515726,SMC01544
SMC01640,2016-06-14T07:00:00Z,0.7471146479422189,20364739,SMC01640
402M00042,2017-04-19T07:00:00Z,1.081665466654845,17586550,402M00042
845PS0011,2017-06-29T07:00:00Z,0.48815461506674274,22525749,845PS0011
ME-VR2,2017-06-21T07:00:00Z,0.6027072490507493,948070372,ME-VR2
REF-TCAS,2017-06-01T07:00:00Z,0.7728314092454815,20348207,REF-TCAS
SJC-74,2017-06-01T07:00:00Z,0.692113340059574,20350533,SJC-74
REF-FC,2017-04-10T07:00:00Z,0.6860672448258223,22563198,REF-FC
ACJ01,2014-06-30T07:00:00Z,0.4891480504627525,20350539,ACJ01
SMC06904,2014-07-08T07:00:00Z,0.5759395980519577,17574677,SMC06904
SMC00574,2017-05-03T07:00:00Z,0.4860478261867364,22525157,SMC00574
SMC00288,2017-06-14T07:00:00Z,0.47700457106396715,22524733,SMC00288
SMC04524,2017-06-15T07:00:00Z,0.9310588477042272,22520983,SMC04524
405CE0280,2017-07-19T07:00:00Z,1.1831555329464645,22522879,405CE0280
SMC01278,2017-07-19T07:00:00Z,0.9904281274681161,22524991,SMC01278
